eventname,datetime
FRB20200809E,2020-08-09 11:49:00.966090
FRB20200809E,2020-10-18 07:54:07.047142
FRB20200809E,2021-01-28 00:55:22.859591
FRB20200809E,2021-02-08 00:03:28.617379
FRB20200828A,2020-08-28 17:44:01.931535
FRB20200828A,2021-02-03 07:51:06.549975
FRB20200913C,2020-09-13 02:17:07.937234
FRB20200913C,2020-09-14 02:28:45.155402
FRB20200926A,2020-09-26 02:28:35.324475
FRB20200926A,2020-12-10 21:33:43.812495
FRB20200926A,2020-12-23 20:45:57.422574
FRB20200926A,2021-12-06 21:56:00.262021
FRB20200926A,2023-07-25 06:42:34.268682
FRB20200926A,2023-08-04 06:00:38.187632
FRB20200929C,2020-09-29 08:31:22.280793
FRB20200929C,2020-11-25 04:48:13.231132
FRB20200929C,2020-12-03 04:15:59.449897
FRB20200929C,2020-12-29 02:35:57.739420
FRB20200929C,2021-03-13 21:43:11.209490
FRB20200929C,2021-03-14 21:40:48.518284
FRB20200929C,2021-03-26 20:46:50.390799
FRB20200929C,2021-06-24 15:00:21.279114
FRB20200929C,2021-09-03 10:19:26.461923
FRB20200929C,2021-09-30 08:31:34.095820
FRB20200929C,2021-11-17 05:16:30.995043
FRB20200929C,2022-02-09 23:46:39.435973
FRB20200929C,2022-02-25 22:52:25.573573
FRB20200929C,2022-03-05 22:24:34.492080
FRB20200929C,2022-03-17 21:25:08.231362
FRB20200929C,2023-04-22 19:04:57.759854
FRB20201114A,2020-11-14 19:11:57.902072
FRB20201114A,2020-12-19 16:51:26.692915
FRB20201124A,2020-12-10 07:54:42.971965
FRB20201124A,2020-12-16 07:29:19.411353
FRB20201124A,2021-02-20 03:06:22.953408
FRB20201124A,2021-03-01 02:28:45.287032
FRB20201124A,2021-03-21 01:12:22.524380
FRB20201124A,2021-03-22 01:10:44.315312
FRB20201124A,2021-03-23 01:08:04.102402
FRB20201124A,2021-03-26 00:53:51.088176
FRB20201124A,2021-03-28 00:49:08.222348
FRB20201124A,2021-04-04 00:11:43.325552
FRB20201124A,2021-04-12 23:36:08.641413
FRB20201124A,2021-05-04 22:18:21.590538
FRB20201124A,2021-05-18 21:21:03.793671
FRB20201124A,2021-05-21 21:07:19.484160
