repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20200929C,FRB20200929C,59121.3551203585,10,9.540235623717308e-08,-7.0204408990048615,Catalog 2023,
FRB20200929C,FRB20201125B,59178.2001530823,10,56.84503272380243,1.7546925208286146,Catalog 2023,
FRB20200929C,FRB20201203C,59186.1777714424,10,7.977618360098859,0.9018732563323595,Catalog 2023,
FRB20200929C,FRB20201229C,59212.1083064823,10,25.93053503990086,1.4138114779139432,Catalog 2023,
FRB20200929C,FRB20201229C,59212.1083066557,10,1.7339334590360522e-07,-6.760967572908225,Catalog 2023,
FRB20200929C,FRB20201229C,59212.1083067959,10,1.4020042726770043e-07,-6.853250662833541,Catalog 2023,
FRB20200929C,FRB20210313B,59286.9049908317,10,74.79668403580581,1.873882344697705,Catalog 2023,
FRB20200929C,FRB20210314A,59287.903339313,10,0.9983484812983079,-0.0007178383839572487,Catalog 2023,
FRB20200929C,FRB20210326B,59299.8658610061,10,11.962521693101735,1.0778227383448444,Catalog 2023,
FRB20201114A,FRB20201114A,59167.7999755317,4,,,Catalog 2023,
FRB20201114A,FRB20201114A,59167.7999755992,4,6.749905878677964e-08,-7.170702282969831,Catalog 2023,
FRB20201114A,FRB20201114A,59167.7999756629,4,6.37010089121759e-08,-7.195853689147839,Catalog 2023,
FRB20201114A,FRB20201219A,59202.7023923947,4,34.90241673179844,1.5428554996510397,Catalog 2023,
FRB20201130A,FRB20201130A,59183.3190231816,13,,,Catalog 2023,
FRB20201130A,FRB20201225D,59208.2493284056,13,24.930305224006588,1.3967275956433782,Catalog 2023,
FRB20201130A,FRB20210105G,59219.2191660149,13,10.969837609292881,1.0402001985947642,Catalog 2023,
FRB20201130A,FRB20210114B,59228.1962070643,13,8.977041049402033,0.953133211090544,Catalog 2023,
FRB20201130A,FRB20210117E,59231.1861238619,13,2.989916797603655,0.47565910309219683,Catalog 2023,
FRB20201130A,FRB20210118B,59232.1842457933,13,0.9981219313995098,-0.0008164016992163163,Catalog 2023,
FRB20201130A,FRB20210205D,59250.1380848635,13,17.953839070200047,1.2541573280526548,Catalog 2023,
