,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
89,FRB20180321A,21/3/2018 7:05,58198.29576,LPA,33:00.0,+42:01:48.00,119.27,-20.71,111,594,0.54,1670,2310,8.2,https://www.wis-tns.org/object/20180321a,0.5433,-,-,-,5,,,,
90,FRB20180324A,24/3/2018 9:31,58201.39707,ASKAP,16:00.0,-34:46:60.00,241.94,-21.88,1297,431,16.5,4.3,71,9.8,https://www.wis-tns.org/object/20180324a,0.3895,-,45,10,0.4,,,,
91,FRB20180417A,17/4/2018 13:18,58225.55453,ASKAP,24:56.0,+14:13:00.00,276.03,75.69,1272.5,474.8,21.8,2.52,55,24.2,https://www.wis-tns.org/object/20180417a,0.4725,-,7,7,-,,,,
92,FRB20180430A,30/4/2018 9:59,58238.41665,ASKAP,51:00.0,-09:57:00.00,221.76,-4.62,1297,264.1,147.5,1.2,177,28.2,https://www.wis-tns.org/object/20180430a,-,-,6,6,0.5,,,,
93,FRB20180515A,15/5/2018 21:57,58253.91489,ASKAP,13:12.0,-42:14:46.00,349.49,-64.93,1320,355.2,24.2,1.9,46,12.1,https://www.wis-tns.org/object/20180515a,0.3624,-,7,7,0.5,,,,
94,FRB20180525A,25/5/2018 15:19,58263.63827,ASKAP,40:00.0,-02:12:00.00,348.97,50.71,1297,388.1,78.9,3.8,300,27.4,https://www.wis-tns.org/object/20180525a,0.386,-,30,6,0.3,,,,
95,FRB20180528A,28/5/2018 4:24,58266.18334,UTMOST,38:49.8,-49:53:59.00,258.87,-22.35,835,899.3,13.8,1.3,18,14,https://www.wis-tns.org/object/20180528a,0.6529,-,5.01,240,0.6,,,,
96,FRB20180714A,14/7/2018 10:00,58313.41677,Parkes,46:12.0,-11:45:47.00,14.85,8.73,1352,1467.92,0.6,2.9,1.85,22,https://www.wis-tns.org/object/20180714a,1.1951,-,7.5,7.5,0.3,,,,
97,FRB20180725A,25/7/2018 17:59,58324.7498,CHIME,13:40.8,+67:04:12,147.92,21.48,607.4,716.6,2,2.95,4,19.2,https://www.chime-frb.ca/catalog/FRB20180725A,0.6393,-,2.34,12.6,1.62,,,760.1,485.3
98,FRB20180727A,27/7/2018 0:52,58326.03626,CHIME,10:52.8,+26:25:12,19.82,85.6,493.3,642.1,0.6,2.95,2.3,10.4,https://www.chime-frb.ca/catalog/FRB20180727A,0.6261,-,7.8,15.6,1.62,,,800.2,400.2
99,FRB20180729A,29/7/2018 0:48,58328.03356,CHIME,17:36.0,+55:34:48,115.15,61.67,525.6,108.4,12,0.98,20,32,https://www.chime-frb.ca/catalog/FRB20180729A,0.1077,-,7.2,5.04,1.62,,,692.7,400.2
100,FRB20180729B,29/7/2018 17:28,58328.72803,CHIME,59:43.2,+56:30:00,157.2,15.47,657.5,318.6,0.9,1.97,1.2,12.4,https://www.chime-frb.ca/catalog/FRB20180729B,0.2286,-,16.2,14.4,1.62,,,800.2,441.8
101,FRB20180730A,30/7/2018 3:37,58329.15113,CHIME,49:33.6,+87:11:24,124.36,25.31,483.5,849.2,5,4.92,30,69.5,https://www.chime-frb.ca/catalog/FRB20180730A,0.779,-,1.92,12,1.62,,,759.2,400.2
102,FRB20180801A,1/8/2018 8:47,58331.36625,CHIME,30:07.2,+72:43:12,109.15,15.52,595.6,656.7,1.1,9.83,8,20.4,https://www.chime-frb.ca/catalog/FRB20180801A,0.5604,-,3.54,13.2,3.23,,,709.3,500.2
103,FRB20180806A,6/8/2018 14:13,58336.59251,CHIME,14:14.4,+75:37:12,113.38,38.36,665.3,739.2,2,2.95,8,13.9,https://www.chime-frb.ca/catalog/FRB20180806A,0.7001,-,4.26,23.4,1.62,,,800.2,400.2
104,FRB20180810A,10/8/2018 17:29,58340.72847,CHIME,45:52.8,+34:51:36,180.69,14.09,552.9,415.7,1.1,1.97,2,13.1,https://www.chime-frb.ca/catalog/FRB20180810A,0.3041,-,7.8,14.4,1.62,,,800.2,400.2
105,FRB20180810B,10/8/2018 22:40,58340.94495,CHIME,01:38.4,+83:08:24,124.72,33.84,400.2,169.8,5,0.98,8,38.6,https://www.chime-frb.ca/catalog/FRB20180810B,0.1569,-,0.96,9.6,1.62,,,778.6,400.2
106,FRB20180812A,12/8/2018 11:45,58342.49009,CHIME,17:19.2,+80:46:48,123.94,17.55,400.2,795.8,0.9,7.86,5,12.5,https://www.chime-frb.ca/catalog/FRB20180812A,0.6942,-,16.2,16.8,6.47,,,586.4,400.2
107,FRB20180814A,14/8/2018 14:49,58344.61794,CHIME,22:09.6,+73:37:48,136.34,16.62,464.2,190.9,0.4,7.86,3,11,https://www.chime-frb.ca/catalog/FRB20180814A,0.1045,-,11.4,16.2,3.23,,,527,408.9
108,FRB20180814B,14/8/2018 14:20,58344.59742,CHIME,53:02.4,+74:01:12,109.71,37.74,800.2,237.8,3,5.9,11,18.7,https://www.chime-frb.ca/catalog/FRB20180814B,0.2338,-,2.52,22.8,1.62,,,800.2,400.2
109,FRB20180814B,14/8/2018 14:20,58344.59742,CHIME,53:02.4,+74:01:12,109.71,37.74,800.2,237.8,3,5.9,11,18.7,https://www.chime-frb.ca/catalog/FRB20180814B,0.2338,-,2.52,22.8,1.62,,,800.2,400.2
110,FRB20180817A,17/8/2018 1:49,58347.07609,CHIME,32:48.0,+42:12:00,68.34,54.11,501.1,1002.8,2,17.69,30,45.6,https://www.chime-frb.ca/catalog/FRB20180817A,0.9483,-,3.12,9.6,6.47,,,800.2,400.2
